,Round,Grand Prix,Circuit,Date
0,1,Australian Grand Prix,"Albert Park Circuit, Melbourne",18 March
1,2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",25 March
2,3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",15 April
3,4,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",22 April
4,5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",13 May
5,6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",27 May
6,7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",10 June
7,8,European Grand Prix,"Valencia Street Circuit, Valencia",24 June
8,9,British Grand Prix,"Silverstone Circuit, Silverstone",8 July
9,10,German Grand Prix,"Hockenheimring, Hockenheim",22 July
10,11,Hungarian Grand Prix,"Hungaroring, Mogyoród",29 July
11,12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",2 September
12,13,Italian Grand Prix,"Autodromo Nazionale Monza, Monza",9 September
13,14,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",23 September
14,15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",7 October
15,16,Korean Grand Prix,"Korea International Circuit, Yeongam",14 October
16,17,Indian Grand Prix,"Buddh International Circuit, Greater Noida",28 October
17,18,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",4 November
18,19,United States Grand Prix,"Circuit of the Americas, Austin, Texas",18 November
19,20,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",25 November
